cat__BusinessTravel_Non-Travel,cat__BusinessTravel_Travel_Frequently,cat__BusinessTravel_Travel_Rarely,cat__Department_Human Resources,cat__Department_Research & Development,cat__Department_Sales,cat__EducationField_Human Resources,cat__EducationField_Life Sciences,cat__EducationField_Marketing,cat__EducationField_Medical,cat__EducationField_Other,cat__EducationField_Technical Degree,cat__Gender_Female,cat__Gender_Male,cat__JobRole_Healthcare Representative,cat__JobRole_Human Resources,cat__JobRole_Laboratory Technician,cat__JobRole_Manager,cat__JobRole_Manufacturing Director,cat__JobRole_Research Director,cat__JobRole_Research Scientist,cat__JobRole_Sales Executive,cat__JobRole_Sales Representative,cat__MaritalStatus_Divorced,cat__MaritalStatus_Married,cat__MaritalStatus_Single,cat__OverTime_No,cat__OverTime_Yes,num__Age,num__DailyRate,num__DistanceFromHome,num__Education,num__EnvironmentSatisfaction,num__HourlyRate,num__JobInvolvement,num__JobLevel,num__JobSatisfaction,num__MonthlyIncome,num__MonthlyRate,num__NumCompaniesWorked,num__PercentSalaryHike,num__PerformanceRating,num__RelationshipSatisfaction,num__StockOptionLevel,num__TotalWorkingYears,num__TrainingTimesLastYear,num__WorkLifeBalance,num__YearsAtCompany,num__YearsInCurrentRole,num__YearsSinceLastPromotion,num__YearsWithCurrManager
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4425761013158995,0.7357894010082118,-1.0173789768250374,-0.8660666796834612,-0.6511618768396269,1.4191131983918366,0.3780495599000668,-0.07617674124092652,1.16643951397464,-0.12046948678634231,0.6936446726420463,2.1152212383224995,-1.1520499461642075,-0.4275027727274465,-1.6035122463594715,-0.9353084840461424,-0.4324691086344154,-2.211550008964077,-2.4622802365899887,-0.1578294594966816,-0.06511533908903126,-0.6796848621289745,0.246143452374038
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.3158470663284791,-1.3347891323229768,-0.15917769212299443,-1.835797488599981,0.27049640550972137,-0.20367942251375645,-1.031417821031703,-0.07617674124092652,-0.6371160981664635,-0.30770296989180085,1.4446174869716697,-0.6891112813971698,2.142418033278969,2.339166114923766,1.1541714887445336,0.24704093866083607,-0.17222892571931983,0.20853325146559523,0.335827287928066,0.5146612809674402,0.7724307099436338,-0.36925622336700614,0.8121358825257365
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.005940618809609587,1.4175959411452133,-0.8947787932961742,-0.8660666796834612,1.1921546878590696,1.3207621304581643,-1.031417821031703,-0.9983634087340237,0.2646617079040882,-0.9672508130442853,-1.6698167472534873,1.313983375545451,-0.053893953016482025,-0.4275027727274465,-0.6842843346581365,-0.9353084840461424,-0.5625892000919632,0.20853325146559523,0.335827287928066,-1.1665655701928643,-1.181843404465918,-0.6796848621289745,-1.1688376230052084
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.4306948636966803,1.465397875693564,-0.7721786097673109,1.0733949381495782,1.1921546878590696,-0.4495570923479372,0.3780495599000668,-0.9983634087340237,0.2646617079040882,-0.7895634171423495,1.2027787840519604,-0.6891112813971698,-1.1520499461642075,-0.4275027727274465,0.23494357704319854,-0.9353084840461424,-0.4324691086344154,0.20853325146559523,0.335827287928066,0.1784159107353793,0.7724307099436338,0.25160105415693057,-1.1688376230052084
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0856480874561152,-0.5498310492132188,-0.8947787932961742,-1.835797488599981,-1.572820159188975,-1.2363656358173156,0.3780495599000668,-0.9983634087340237,-0.6371160981664635,-0.6682847183521394,0.2997574946029089,2.5158401697110238,-0.8775109478772761,-0.4275027727274465,1.1541714887445336,0.24704093866083607,-0.692709291549511,0.20853325146559523,0.335827287928066,-0.8303201999608034,-0.6234793717774747,-0.058827584605037786,-0.6028451928535098
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.5398537343232528,0.49174794568242164,-0.8947787932961742,-0.8660666796834612,1.1921546878590696,0.6814801888892943,0.3780495599000668,-0.9983634087340237,1.16643951397464,-0.7550673292932557,-0.35990322365863203,-1.089730212785694,-0.6029719495903447,-0.4275027727274465,0.23494357704319854,-0.9353084840461424,-0.4324691086344154,-0.5981611686776289,-1.0632264743309614,0.010293225619348851,0.7724307099436338,0.25160105415693057,0.5291396674498873
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.407435772594204,1.2943172678363088,-0.7721786097673109,0.10366412923305852,0.27049640550972137,0.7798312568229666,1.7875169408318365,-0.9983634087340237,-1.5388939042370153,-0.8414160271796666,-0.622771379006142,0.5127455127684027,1.3188010384181748,2.339166114923766,-1.6035122463594715,2.611739784074793,0.08801125719577572,0.20853325146559523,-1.0632264743309614,-0.9984428850768339,-1.181843404465918,-0.6796848621289745,-1.1688376230052084
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7581714755763977,1.3798575717649364,1.8024252443388182,-1.835797488599981,1.1921546878590696,0.09137378128726047,0.3780495599000668,-0.9983634087340237,0.2646617079040882,-0.8364260270505524,-0.15638793075537558,-0.6891112813971698,1.8678790349920376,2.339166114923766,-0.6842843346581365,0.24704093866083607,-1.3433097488372499,-0.5981611686776289,0.335827287928066,-0.9984428850768339,-1.181843404465918,-0.6796848621289745,-1.1688376230052084
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11509948943618206,-1.4932902837201396,1.679825060809955,0.10366412923305852,1.1921546878590696,-1.039663499949971,-1.031417821031703,0.8460099262521708,0.2646617079040882,0.646037924351068,-0.7856112836608891,-1.089730212785694,1.5933400367051063,2.339166114923766,-0.6842843346581365,-0.9353084840461424,-0.17222892571931983,-0.5981611686776289,0.335827287928066,0.3465385958514097,0.7724307099436338,-0.36925622336700614,1.095132097601586
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.10321825181696288,1.2314199855358474,2.170225794925408,0.10366412923305852,0.27049640550972137,1.4191131983918366,0.3780495599000668,-0.07617674124092652,0.2646617079040882,-0.28448862146505227,0.29214815326390203,1.313983375545451,-0.6029719495903447,-0.4275027727274465,-0.6842843346581365,1.4293903613678145,0.7386117144835146,0.20853325146559523,-1.0632264743309614,0.010293225619348851,0.7724307099436338,1.4933156092048039,0.8121358825257365
